------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version,2.4
EnvLogger Viewer version,3.9
downloading device type, android
device, SM-G930F
downloading mode, manual
------------------------------,--------------------
serial number, 04F7 7E00 E542 0A
custom name, A2
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution,0.1
samples,2843
time diff [logger-smartphone](sec),119
lat,48.834736
long,-125.135699
accuracy (m),16
------------------------------,--------------------
time,temp
2021-03-19 18:50,6.5
2021-03-19 19:20,6.2
2021-03-19 19:50,6.1
2021-03-19 20:20,6.6
2021-03-19 20:50,8.4
2021-03-19 21:20,8.6
2021-03-19 21:50,8.7
2021-03-19 22:20,8.7
2021-03-19 22:50,8.6
2021-03-19 23:20,8.7
2021-03-19 23:50,8.6
2021-03-20 0:20,8.6
2021-03-20 0:50,8.6
2021-03-20 1:20,8.6
2021-03-20 1:50,8.6
2021-03-20 2:20,8.6
2021-03-20 2:50,8.7
2021-03-20 3:20,8.6
2021-03-20 3:50,8.6
2021-03-20 4:20,8.6
2021-03-20 4:50,8.7
2021-03-20 5:20,8.7
2021-03-20 5:50,8.8
2021-03-20 6:20,8.7
2021-03-20 6:50,8.6
2021-03-20 7:20,8.6
2021-03-20 7:50,8.6
2021-03-20 8:20,8.6
2021-03-20 8:50,8.6
2021-03-20 9:20,8.6
2021-03-20 9:50,8.6
2021-03-20 10:20,8.6
2021-03-20 10:50,8.7
2021-03-20 11:20,8.7
2021-03-20 11:50,8.7
2021-03-20 12:20,8.7
2021-03-20 12:50,8.6
2021-03-20 13:20,8.6
2021-03-20 13:50,8.6
2021-03-20 14:20,8.6
2021-03-20 14:50,8.6
2021-03-20 15:20,8.7
2021-03-20 15:50,8.6
2021-03-20 16:20,8.6
2021-03-20 16:50,8.6
2021-03-20 17:20,8.6
2021-03-20 17:50,8.7
2021-03-20 18:20,8.6
2021-03-20 18:50,8.6
2021-03-20 19:20,8.7
2021-03-20 19:50,8.7
2021-03-20 20:20,8.7
2021-03-20 20:50,8.7
2021-03-20 21:20,8.7
2021-03-20 21:50,8.5
2021-03-20 22:20,8.7
2021-03-20 22:50,8.8
2021-03-20 23:20,8.7
2021-03-20 23:50,8.8
2021-03-21 0:20,8.8
2021-03-21 0:50,8.9
2021-03-21 1:20,8.8
2021-03-21 1:50,8.9
2021-03-21 2:20,8.9
2021-03-21 2:50,8.9
2021-03-21 3:20,8.9
2021-03-21 3:50,8.8
2021-03-21 4:20,8.8
2021-03-21 4:50,8.8
2021-03-21 5:20,8.8
2021-03-21 5:50,8.8
2021-03-21 6:20,8.7
2021-03-21 6:50,8.7
2021-03-21 7:20,8.6
2021-03-21 7:50,8.8
2021-03-21 8:20,8.7
